"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.css", "CSS", 0, 0, -545, 0, -102, -647
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.html", "HTML", 0, -132, 0, 0, -12, -144
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorija.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorijaEng.html", "HTML", 0, -132, 0, 0, -11, -143
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href1-ISTORIJA\istorijaGer.html", "HTML", 0, -133, 0, 0, -14, -147
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\LokacijeEng.html", "HTML", 0, -117, 0, 0, -13, -130
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.css", "CSS", 0, 0, -482, -1, -84, -567
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.html", "HTML", 0, -116, 0, 0, -20, -136
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacije.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href2-LOKACIJE\lokacijeGer.html", "HTML", 0, -117, 0, 0, -13, -130
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleni.css", "CSS", 0, 0, -644, 0, -137, -781
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleni.html", "HTML", 0, -143, 0, 0, -16, -159
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleni.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleniEng.html", "HTML", 0, -143, 0, 0, -11, -154
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href3-ZAPOSLENI\zaposleniGer.html", "HTML", 0, -142, 0, 0, -10, -152
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href4-PROIZVODI\proizvodi.css", "CSS", 0, 0, -521, -3, -98, -622
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href4-PROIZVODI\proizvodi.html", "HTML", 0, -160, 0, 0, -14, -174
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href4-PROIZVODI\proizvodi.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href4-PROIZVODI\proizvodiEng.html", "HTML", 0, -160, 0, 0, -21, -181
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href4-PROIZVODI\proizvodiGer.html", "HTML", 0, -159, 0, 0, -15, -174
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href5-OstaleInformacije\ostaleinfo.js", "JavaScript", -7, 0, 0, 0, -4, -11
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href5-OstaleInformacije\ostaleinfoEng.html", "HTML", 0, -161, 0, 0, -7, -168
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href5-OstaleInformacije\ostaleinfoGer.html", "HTML", 0, -161, 0, 0, -8, -169
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href5-OstaleInformacije\ostaleinformacije.css", "CSS", 0, 0, -443, 0, -80, -523
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\Href5-OstaleInformacije\ostaleinformacije.html", "HTML", 0, -161, 0, 0, -5, -166
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\M.css", "CSS", 0, 0, -1027, 0, -206, -1233
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\M.html", "HTML", 0, -188, 0, 0, -35, -223
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\M.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.746\MEng.html", "HTML", 0, -185, 0, 0, -25, -210
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href1-ISTORIJA\istorija.css", "CSS", 0, 0, 551, 0, 104, 655
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href1-ISTORIJA\istorija.html", "HTML", 0, 132, 0, 0, 12, 144
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href1-ISTORIJA\istorija.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href1-ISTORIJA\istorijaEng.html", "HTML", 0, 132, 0, 0, 10, 142
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href1-ISTORIJA\istorijaGer.html", "HTML", 0, 133, 0, 0, 13, 146
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href2-LOKACIJE\LokacijeEng.html", "HTML", 0, 117, 0, 0, 12, 129
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href2-LOKACIJE\lokacije.css", "CSS", 0, 0, 481, 1, 86, 568
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href2-LOKACIJE\lokacije.html", "HTML", 0, 116, 0, 0, 20, 136
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href2-LOKACIJE\lokacije.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href2-LOKACIJE\lokacijeGer.html", "HTML", 0, 117, 0, 0, 12, 129
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href3-ZAPOSLENI\zaposleni.css", "CSS", 0, 0, 649, 0, 143, 792
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href3-ZAPOSLENI\zaposleni.html", "HTML", 0, 143, 0, 0, 16, 159
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href3-ZAPOSLENI\zaposleni.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href3-ZAPOSLENI\zaposleniEng.html", "HTML", 0, 143, 0, 0, 11, 154
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href3-ZAPOSLENI\zaposleniGer.html", "HTML", 0, 142, 0, 0, 10, 152
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\Porucivanje.css", "CSS", 0, 0, 275, 4, 55, 334
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\Porucivanje.js", "JavaScript", 11, 0, 0, 0, 1, 12
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\PorucivanjeEng.js", "JavaScript", 11, 0, 0, 0, 1, 12
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\PorucivanjeGer.js", "JavaScript", 11, 0, 0, 0, 1, 12
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\PorucivanjeProizvodEng.html", "HTML", 0, 127, 0, 0, 4, 131
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\PorucivanjeProizvodGer.html", "HTML", 0, 127, 0, 0, 4, 131
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\PorucivanjeProizvodi.html", "HTML", 0, 127, 0, 0, 16, 143
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodStolice.html", "HTML", 0, 104, 0, 0, 14, 118
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodi.css", "CSS", 0, 0, 570, 2, 113, 685
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodi.html", "HTML", 0, 236, 0, 0, 46, 282
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodi.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodiEng.html", "HTML", 0, 235, 0, 0, 42, 277
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodiGer.html", "HTML", 0, 231, 0, 0, 41, 272
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodiKucista.html", "HTML", 0, 103, 0, 0, 14, 117
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodiMonitori.html", "HTML", 0, 115, 0, 0, 20, 135
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodiPodloge.html", "HTML", 0, 114, 0, 0, 19, 133
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodimis.html", "HTML", 0, 124, 0, 0, 21, 145
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvodislusalice.html", "HTML", 0, 117, 0, 0, 16, 133
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href4-PROIZVODI\proizvoditastature.html", "HTML", 0, 133, 0, 0, 24, 157
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href5-OstaleInformacije\ostaleinfo.js", "JavaScript", 7, 0, 0, 0, 4, 11
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href5-OstaleInformacije\ostaleinfoEng.html", "HTML", 0, 161, 0, 0, 6, 167
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href5-OstaleInformacije\ostaleinfoGer.html", "HTML", 0, 161, 0, 0, 7, 168
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href5-OstaleInformacije\ostaleinformacije.css", "CSS", 0, 0, 442, 0, 81, 523
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\Href5-OstaleInformacije\ostaleinformacije.html", "HTML", 0, 161, 0, 0, 5, 166
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiKucistaENG.html", "HTML", 0, 103, 0, 0, 1, 104
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiKucistaGer.html", "HTML", 0, 103, 0, 0, 2, 105
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiMisENG.html", "HTML", 0, 123, 0, 0, 1, 124
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiMisGer.html", "HTML", 0, 123, 0, 0, 2, 125
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiMonitorENG.html", "HTML", 0, 114, 0, 0, 1, 115
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiMonitoriGer.html", "HTML", 0, 114, 0, 0, 2, 116
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiPodlogaENG.html", "HTML", 0, 114, 0, 0, 2, 116
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiPodlogeGer.html", "HTML", 0, 112, 0, 0, 2, 114
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiSlusaliceENG.html", "HTML", 0, 116, 0, 0, 2, 118
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiSlusaliceGer.html", "HTML", 0, 116, 0, 0, 2, 118
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiStoliceENG.html", "HTML", 0, 103, 0, 0, 3, 106
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiStoliceGer.html", "HTML", 0, 103, 0, 0, 2, 105
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiTastaturaENG.html", "HTML", 0, 132, 0, 0, 7, 139
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\JeziciProizvodi\ProizvodiTastatureGer.html", "HTML", 0, 132, 0, 0, 2, 134
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\M.css", "CSS", 0, 0, 1036, 1, 210, 1247
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\M.html", "HTML", 0, 191, 0, 0, 36, 227
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\M.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\MEng.html", "HTML", 0, 185, 0, 0, 26, 211
"c:\Users\Majus\Desktop\GejmingProdavinica-MajerDiplomskiPOPRAVKA1.831\MGer.html", "HTML", 0, 0, 0, 0, 2, 2
"Total", "-", 33, 3025, 342, 4, 348, 3752